product_id,product_name,category,unit_price,cost_price
1,Product_1,Electronics,152.72,90.83
2,Product_2,Grocery,478.72,284.73
3,Product_3,Electronics,224.76,133.68
4,Product_4,Clothing,333.19,198.17
5,Product_5,Clothing,277.27,164.91
6,Product_6,Sports,42.65,25.37
7,Product_7,Clothing,455.44,270.88
8,Product_8,Sports,465.87,277.08
9,Product_9,Sports,26.1,15.52
10,Product_10,Electronics,249.24,148.24
11,Product_11,Grocery,176.25,104.83
12,Product_12,Electronics,418.06,248.65
13,Product_13,Electronics,203.39,120.97
14,Product_14,Grocery,200.74,119.39
15,Product_15,Furniture,45.89,27.29
16,Product_16,Electronics,476.82,283.6
17,Product_17,Sports,381.4,226.84
18,Product_18,Grocery,429.27,255.32
19,Product_19,Electronics,20.69,12.31
20,Product_20,Furniture,404.1,240.34
21,Product_21,Furniture,305.14,181.49
22,Product_22,Sports,157.34,93.58
23,Product_23,Sports,141.34,84.06
24,Product_24,Clothing,143.52,85.36
25,Product_25,Clothing,449.79,267.52
26,Product_26,Furniture,179.4,106.7
27,Product_27,Grocery,80.07,47.62
28,Product_28,Clothing,335.42,199.5
29,Product_29,Sports,245.99,146.31
30,Product_30,Clothing,145.35,86.45
31,Product_31,Electronics,456.52,271.52
32,Product_32,Clothing,323.51,192.41
33,Product_33,Grocery,356.9,212.27
34,Product_34,Clothing,412.25,245.19
35,Product_35,Clothing,336.36,200.06
36,Product_36,Clothing,292.08,173.72
37,Product_37,Electronics,199.67,118.76
38,Product_38,Sports,217.7,129.48
39,Product_39,Sports,30.24,17.99
40,Product_40,Clothing,83.04,49.39
41,Product_41,Electronics,343.73,204.44
42,Product_42,Furniture,104.24,62
43,Product_43,Electronics,113.44,67.47
44,Product_44,Grocery,288.46,171.57
45,Product_45,Grocery,272.09,161.83
46,Product_46,Clothing,207.88,123.64
47,Product_47,Furniture,48.11,28.61
48,Product_48,Sports,26.78,15.93
49,Product_49,Sports,312,185.57
50,Product_50,Grocery,469.33,279.14
51,Product_51,Electronics,297.39,176.88
52,Product_52,Sports,51.17,30.43
53,Product_53,Electronics,436.5,259.62
54,Product_54,Clothing,8.47,5.04
55,Product_55,Electronics,63.37,37.69
56,Product_56,Clothing,480.09,285.54
57,Product_57,Clothing,85.7,50.97
58,Product_58,Electronics,142.47,84.74
59,Product_59,Furniture,437.65,260.3
60,Product_60,Furniture,34.54,20.54
61,Product_61,Furniture,493.36,293.43
62,Product_62,Electronics,416,247.42
63,Product_63,Grocery,109.61,65.19
64,Product_64,Furniture,78.84,46.89
65,Product_65,Furniture,146.73,87.27
66,Product_66,Grocery,23.97,14.26
67,Product_67,Electronics,153.12,91.07
68,Product_68,Sports,353.15,210.04
69,Product_69,Clothing,146.31,87.02
70,Product_70,Furniture,255.63,152.04
71,Product_71,Clothing,349.27,207.73
72,Product_72,Clothing,73.72,43.85
73,Product_73,Clothing,312.72,186
74,Product_74,Sports,358.63,213.3
75,Product_75,Grocery,258.56,153.78
76,Product_76,Grocery,96.29,57.27
77,Product_77,Electronics,450.43,267.9
78,Product_78,Clothing,340.74,202.66
79,Product_79,Clothing,11.38,6.77
80,Product_80,Grocery,388.06,230.8
81,Product_81,Sports,322.47,191.79
82,Product_82,Electronics,147.42,87.68
83,Product_83,Grocery,18.01,10.71
84,Product_84,Sports,59.35,35.3
85,Product_85,Furniture,421.96,250.97
86,Product_86,Furniture,288.25,171.44
87,Product_87,Electronics,494.89,294.34
88,Product_88,Furniture,323.71,192.53
89,Product_89,Sports,178.68,106.27
90,Product_90,Furniture,153.6,91.36
91,Product_91,Clothing,219.34,130.46
